year,state,candidate,party,outcome,incumbent,Population,Male,Black or African American,Bachelor's degree,Graduate or professional degree,18 to 29 years,65 years and over,Disposable Income Per Capita,Avg Unemployment,turnout,state_Alaska,state_Arizona,state_Arkansas,state_California,state_Colorado,state_Connecticut,state_Delaware,state_Florida,state_Georgia,state_Hawaii,state_Idaho,state_Illinois,state_Indiana,state_Iowa,state_Kansas,state_Kentucky,state_Louisiana,state_Maine,state_Maryland,state_Massachusetts,state_Michigan,state_Minnesota,state_Mississippi,state_Missouri,state_Montana,state_Nebraska,state_Nevada,state_New Hampshire,state_New Jersey,state_New Mexico,state_New York,state_North Carolina,state_North Dakota,state_Ohio,state_Oklahoma,state_Oregon,state_Pennsylvania,state_Rhode Island,state_South Carolina,state_South Dakota,state_Tennessee,state_Texas,state_Utah,state_Vermont,state_Virginia,state_Washington,state_West Virginia,state_Wisconsin,state_Wyoming,candidate_other,candidate_republican
1980,Colorado,Earl Higgerson,other,0,0,2849521,0.4964141706014551,0.0346663285391029,0.0756942071772908,0.0632722280292336,0.255365396716174,0.08413860663825322,8549.0,6.033333333333334,0.591,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Colorado,Henry John Olshaw,other,0,0,2849521,0.4964141706014551,0.0346663285391029,0.0756942071772908,0.0632722280292336,0.255365396716174,0.08413860663825322,8549.0,6.033333333333334,0.591,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Colorado,Gary Hart,democrat,1,1,2849521,0.4964141706014551,0.0346663285391029,0.0756942071772908,0.0632722280292336,0.255365396716174,0.08413860663825322,8549.0,6.033333333333334,0.591,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Colorado,Mary Estill Buchanan,republican,0,0,2849521,0.4964141706014551,0.0346663285391029,0.0756942071772908,0.0632722280292336,0.255365396716174,0.08413860663825322,8549.0,6.033333333333334,0.591,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1980,Connecticut,Louis Zemel,other,0,0,3089622,0.4817962173859327,0.06834144628748406,0.06975827661882937,0.061257519063015124,0.20527709682788675,0.11558694402340343,9397.0,5.933333333333334,0.647,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Connecticut,Christopher J. Dodd,democrat,1,0,3089622,0.4817962173859327,0.06834144628748406,0.06975827661882937,0.061257519063015124,0.20527709682788675,0.11558694402340343,9397.0,5.933333333333334,0.647,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Connecticut,Gerard G. Brennan,other,0,0,3089622,0.4817962173859327,0.06834144628748406,0.06975827661882937,0.061257519063015124,0.20527709682788675,0.11558694402340343,9397.0,5.933333333333334,0.647,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Connecticut,James L. Buckley,republican,0,0,3089622,0.4817962173859327,0.06834144628748406,0.06975827661882937,0.061257519063015124,0.20527709682788675,0.11558694402340343,9397.0,5.933333333333334,0.647,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1980,Florida,Bill Gunter,democrat,0,0,9427163,0.4793073148203024,0.13799040507302907,0.057078125362499676,0.04165832748661519,0.19462665944823065,0.1721508218606227,7942.0,6.2,0.52,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Florida,Paula Hawkins,republican,1,0,9427163,0.4793073148203024,0.13799040507302907,0.057078125362499676,0.04165832748661519,0.19462665944823065,0.1721508218606227,7942.0,6.2,0.52,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
