GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,AV0AA,AV1AA,AV1AB,B57AA,B57AB,B57AC,B57AD,B57AE,B57AF,B57AG,B57AH,B57AI,B57AJ,B57AK,B57AL,B57AM,B57AN,B57AO,B57AP,B57AQ,B57AR,B18AA,B18AB,B18AC,B18AD,B86AA,B86AB,B86AC
G330,1980,New Hampshire,33,330,NEW HAMPSHIRE,920610,448462,472148,62512,67997,76763,50810,36966,17966,17178,48480,79468,77928,107028,90121,44749,16438,23239,61788,31529,9650,910551,4324,1385,3364,556159,64694,41083
G340,1980,New Jersey,34,340,NEW JERSEY,7364823,3533012,3831811,463289,508447,605841,413284,257381,124854,122729,367245,574135,563758,879823,826558,430048,155560,212100,530707,256833,72231,6154833,924909,10200,109383,4477146,517421,377957
G350,1980,New Mexico,35,350,NEW MEXICO,1302894,642157,660737,114731,109615,114101,79460,52846,26024,25009,74395,115344,101303,144938,122043,58424,20192,28563,74732,32391,8783,990657,23071,106750,7728,753345,64728,67083
G360,1980,New York,36,360,NEW YORK,17558072,8339422,9218650,1135925,1184879,1406060,960999,637572,314719,307969,897258,1428376,1351839,2043219,1908113,979370,354865,486142,1292428,675356,192983,14033644,2405818,43987,330972,10760299,1058219,1050709
G370,1980,North Carolina,37,370,NORTH CAROLINA,5881766,2855385,3026381,404076,447688,482228,323743,242579,125275,120396,333841,502579,461169,682634,601335,295910,108276,146856,387587,170391,45203,4460570,1319054,65960,23150,3726519,315290,180596
G380,1980,North Dakota,38,380,NORTH DAKOTA,652717,328426,324291,54752,49016,51043,36180,27797,14705,14218,40470,58470,45687,63646,59128,29218,11086,16856,47147,25158,8140,626358,2471,19953,2292,401032,38880,21141
G390,1980,Ohio,39,390,OHIO,10797630,5217137,5580493,787150,821480,886625,599065,408614,204093,202141,598685,907679,815697,1199823,1126607,581948,205715,282848,706554,354480,108426,9607133,1076742,15554,53166,6765827,535102,402860
G400,1980,Oklahoma,40,400,OKLAHOMA,3025290,1476705,1548585,233307,229573,230675,161329,117658,59643,57117,167482,252745,222829,337220,298730,150228,55505,75123,224733,117412,33981,2603063,204810,171224,19765,1878501,163890,127302
G410,1980,Oregon,41,410,OREGON,2633105,1296566,1336539,198046,189329,202503,133179,92689,46124,45697,146039,253530,227623,303796,243605,129919,48449,69241,184554,90351,28431,2496398,37454,30469,40958,1607932,160660,140704
G420,1980,Pennsylvania,42,420,PENNSYLVANIA,11863895,5682590,6181305,747458,805151,931891,638796,441814,221397,218843,619575,945051,847847,1274072,1296012,712074,263430,369551,944065,456908,129960,10668416,1045318,11132,70514,7656442,613758,468161
G440,1980,Rhode Island,44,440,RHODE ISLAND,947154,451251,495903,56692,61465,74170,50524,39249,19617,19114,51500,76215,69820,98863,97804,55748,20736,28715,75562,39382,11978,900408,27361,3204,6617,606721,54571,42692
G450,1980,South Carolina,45,450,SOUTH CAROLINA,3121820,1518013,1603807,238516,253643,266179,183628,133606,67365,64313,182060,273137,243604,350505,299183,149937,55272,73544,189527,77797,20004,2147825,947969,6744,13370,1921261,159969,97296
G460,1980,South Dakota,46,460,SOUTH DAKOTA,690768,340683,350085,58446,52871,54400,39889,28752,14559,13548,38446,56868,45959,66432,64968,33567,12782,18262,50515,30077,10427,639840,2152,45572,1917,424149,38516,21569
G470,1980,Tennessee,47,470,TENNESSEE,4591120,2216600,2374520,326088,349928,369940,252604,177649,88513,84813,250087,387987,356636,533841,465366,230307,84139,115634,323027,153118,41443,3837968,724808,7035,15252,2917800,220749,152423
G480,1980,Texas,48,480,TEXAS,14229191,6998723,7230468,1169061,1169889,1179988,787168,565187,288527,278789,853042,1302054,1124483,1603231,1361666,643396,227338,304211,847265,411874,112022,11303054,1704741,50812,134428,8453389,840992,627141
G490,1980,Utah,49,490,UTAH,1461037,724501,736536,189962,146187,125681,78275,60628,28716,31158,95802,135087,105688,142806,112866,52701,19502,26758,67820,32548,8852,1383997,9691,20103,20224,771511,82703,67319
G500,1980,Vermont,50,500,VERMONT,511456,249080,262376,35998,37855,42650,28815,22472,10665,10512,27460,44845,42325,57394,47774,23502,8600,12423,33773,18386,6007,507052,1188,1068,1640,304728,35814,24909
G510,1980,Virginia,51,510,VIRGINIA,5346818,2618310,2728508,360686,387524,431051,295073,210601,109646,108248,313074,477912,449952,662885,545907,267889,95514,125552,318296,145877,41131,4236345,1008665,10069,70569,3221826,358113,292920
G530,1980,Washington,53,530,WASHINGTON,4132156,2052307,2079849,306123,296011,321995,215231,153792,79452,79060,242030,389997,354645,487214,392021,203986,75410,103627,263347,126739,41476,3790990,105604,63808,111607,2499069,257656,235838
G540,1980,West Virginia,54,540,WEST VIRGINIA,1949644,945408,1004236,145583,152802,157489,103762,70442,35408,35170,102110,160954,144649,207419,198112,105219,38408,54249,147298,71161,19409,1874618,65041,2357,5902,1258056,72199,59456
G550,1980,Wisconsin,55,550,WISCONSIN,4705767,2305427,2400340,346940,344804,392247,273829,192783,95169,92035,262822,401915,348115,501973,452945,229046,83896,123051,330415,178145,55637,4446088,183169,30788,22043,2907843,258175,180312
G560,1980,Wyoming,56,560,WYOMING,469557,240560,228997,44845,39297,37124,24287,18292,9804,9746,31118,49335,39400,52995,41605,18930,6578,9026,22867,10835,3473,446489,3270,8266,2044,276243,28207,19126
G010,1990,Alabama,1,10,Alabama,4040587,1936162,2104425,283295,293587,299413,182493,137933,67624,62666,175112,319562,328918,583587,419421,183677,71033,109277,301218,173264,48507,2975797,1020705,16506,27579,2556943,281466,142177
G020,1990,Alaska,2,20,Alaska,550043,289867,260176,54897,51736,43179,22532,14619,8315,8050,24863,53341,59624,103097,53929,16595,5689,7208,15548,5570,1251,415492,22451,85698,26402,301577,50797,25981
G040,1990,Arizona,4,40,Arizona,3665228,1810691,1854537,292859,281733,258364,148163,112759,59304,55863,164754,318048,316851,528708,349516,146658,59996,92878,290044,151013,37717,2963186,110524,203527,387991,2199310,325575,161560
G050,1990,Arkansas,5,50,Arkansas,2350725,1133076,1217649,164667,175051,176097,105316,74306,35573,33349,93828,179036,180009,326703,243337,105811,41795,65789,195961,118881,35216,1944744,373912,12773,19296,1519275,143038,67144
G060,1990,California,6,60,California,29760021,14897627,14862394,2397715,2223982,1977343,1151685,901463,509737,495714,1505343,2854057,2832314,4639321,2902569,1133907,443446,655873,1857221,979224,299107,20524327,2208801,242164,6784729,17444190,3052702,1523650
G080,1990,Colorado,8,80,Colorado,3294394,1631295,1663099,252893,253197,227289,127887,97075,51122,48916,138412,289598,322251,568087,336671,130193,49657,71703,194527,101963,32953,2905474,133146,27776,227998,1841323,402917,190168
G090,1990,Connecticut,9,90,Connecticut,3287116,1592873,1694243,228356,209005,194372,117848,93732,51542,49900,150259,287691,296191,510996,356042,147022,59475,88778,256237,142677,46993,2859353,274269,6654,146840,1900133,393514,243686
G100,1990,Delaware,10,100,Delaware,666168,322968,343200,48824,46949,43055,24513,21793,11793,11056,31591,59286,59829,98866,68114,29861,11980,17923,49596,23997,7142,535094,112460,2019,16595,405278,64555,33328
G110,1990,District Of Columbia,11,110,District of Columbia,606900,282970,323930,37351,31997,29318,18426,22851,12440,11572,35695,63129,58147,95196,62031,25441,10409,15050,44553,25447,7847,179667,399604,1466,26163,340199,78581,71496
G120,1990,Florida,12,120,Florida,12937926,6261719,6676207,849596,814118,748355,454168,345111,177644,169269,523633,1052106,1064138,1811156,1291611,588552,257504,421534,1369652,789669,210110,10749285,1759534,36335,392772,8372920,1133053,567453
G130,1990,Georgia,13,130,Georgia,6478216,3144503,3333713,495535,483952,466614,281202,215950,109209,103347,310078,589952,584944,1015698,668951,259735,96499,142280,388051,208975,57244,4600148,1746565,13348,118155,3920760,566481,260325
G150,1990,Hawaii,15,150,Hawaii,1108229,563891,544338,83223,80907,73896,42100,30391,18158,18013,54623,100178,100518,178339,108775,45375,19275,29453,78653,35955,10397,369616,27195,5099,706319,659231,117888,50885
G160,1990,Idaho,16,160,Idaho,1006749,500956,505793,80193,90043,90186,47983,32455,14609,13491,37692,72067,80733,149168,98907,39407,15287,23263,69755,40112,11398,950451,3370,13780,39148,589246,77768,31898
G170,1990,Illinois,17,170,Illinois,11430602,5552233,5878369,848141,836619,796468,465138,352863,179108,169099,511880,984090,1009095,1700144,1166727,485581,195755,293349,821940,467056,147549,8952978,1694273,21836,761515,6829443,1101193,552145
G180,1990,Indiana,18,180,Indiana,5544159,2688281,2855878,398656,410463,406513,240332,187247,92617,86806,238212,448076,467033,819161,570791,239692,96812,145552,402041,222404,71751,5020700,432092,12720,78647,3502490,360087,224057
G190,1990,Iowa,19,190,Iowa,2776755,1344802,1431953,193203,209338,204217,112122,87294,44005,41228,111186,206616,222003,395321,274428,122335,50049,77304,226961,143890,55255,2683090,48090,7349,38226,1736750,227676,92985
G200,1990,Kansas,20,200,Kansas,2477574,1214645,1262929,188390,195981,179473,97770,74406,39311,36994,103782,201424,211749,361326,235388,103821,41529,63659,184664,115666,42241,2231986,143076,21965,80547,1466100,239238,110234
G210,1990,Kentucky,21,210,Kentucky,3685296,1785235,1900061,250871,265457,275287,162479,122682,59496,56482,161329,301293,308826,549063,382366,162821,63785,96214,268226,152252,46367,3391832,262907,5769,24788,2390629,209055,129994
G220,1990,Louisiana,22,220,Louisiana,4219973,2031386,2188587,334650,358365,342455,191799,140341,69669,65667,188834,345375,358547,605936,406440,171927,67728,103249,275008,150350,43633,2839138,1299281,18541,63013,2558918,288154,143624
G230,1990,Maine,23,230,Maine,1227928,597850,630078,85722,88506,84579,50195,37732,18500,17334,50206,98773,106462,193345,124751,54216,21622,32612,91600,53547,18226,1208360,5138,5998,8432,762332,107480,48816
G240,1990,Maryland,24,240,Maryland,4781468,2318671,2462797,357818,332373,297164,174886,135764,72647,71101,225861,449196,450902,777006,521801,202170,79094,116203,314491,156495,46496,3393964,1189899,12972,184633,2744351,532883,342012
G250,1990,Massachusetts,25,250,Massachusetts,6016425,2888745,3127680,412473,378035,348093,214474,195460,106668,103331,303640,556920,544441,918456,600095,253458,103605,157992,459881,267194,92209,5405374,300130,12241,298680,3490938,746818,427284
G260,1990,Michigan,26,260,Michigan,9295297,4512781,4782516,702554,692247,666370,397594,299209,150757,143173,411388,764262,810291,1406149,948119,392787,160021,241915,655838,345716,106907,7756086,1291706,55638,191867,5752704,701749,379121
G270,1990,Minnesota,27,270,Minnesota,4375099,2145183,2229916,336800,345840,313297,170846,126763,66046,62546,187454,381759,397984,666084,428460,173066,68308,102912,294522,183577,68835,4130395,94944,49909,99851,2564854,467835,174501
G280,1990,Mississippi,28,280,Mississippi,2573216,1230617,1342599,195365,211918,213305,126173,96706,45141,41320,110179,197740,202280,349564,247745,107784,42033,64679,180149,108800,32335,1633461,915057,8525,16173,1583694,163214,78937
G290,1990,Missouri,29,290,Missouri,5117073,2464315,2652758,369244,378850,360481,206251,156566,77802,71767,211056,420001,432041,734771,523177,228556,90491,138338,394202,242262,81217,4486228,548208,19835,62802,3176788,420521,204294
G300,1990,Montana,30,300,Montana,799065,395769,403296,59257,65377,62899,34571,22242,10461,9802,27506,56111,66959,126756,82306,34005,13894,20422,60884,34937,10676,741111,2381,47679,7894,472313,74900,29065
G310,1990,Nebraska,31,310,Nebraska,1578385,769439,808946,119606,126401,117383,65622,47238,23257,21988,63404,125218,131990,228812,149389,67281,26976,40752,117643,76223,29202,1480558,57404,12410,28013,948959,141231,59008
G320,1990,Nevada,32,320,Nevada,1201833,611880,589953,92217,85562,76008,43161,30999,16864,16948,54134,110583,111444,192265,136000,54681,21466,31870,85785,34383,7463,1012695,78771,19637,90730,781917,83864,41293
G330,1990,New Hampshire,33,330,New Hampshire,1109252,543544,565708,84565,80641,71725,41824,34640,17759,17190,48013,98662,106161,182632,112215,44703,17518,25975,71471,40272,13286,1087433,7198,2134,12487,646522,126495,57112
G340,1990,New Jersey,34,340,New Jersey,7730188,3735685,3994503,532637,493044,480983,292798,212590,113489,109090,344015,668917,691734,1196659,843009,355677,145713,217808,610192,326286,95547,6130465,1036825,14970,547928,4564258,905111,462155
G350,1990,New Mexico,35,350,New Mexico,1515069,745253,769816,125878,131059,121632,68172,45766,22402,21176,62480,126083,130666,227717,147448,62038,24205,35285,97607,51223,14232,1146028,30210,134355,204476,874068,117742,76820
G360,1990,New York,36,360,New York,17990455,8625673,9364782,1255764,1178006,1140177,685602,544525,294541,279689,834669,1564617,1573571,2724685,1913920,811857,335402,489708,1348279,767270,248173,13385255,2859055,62651,1683494,10789509,1758212,1186433
G370,1990,North Carolina,37,370,North Carolina,6628637,3214290,3414347,458955,439621,436840,270733,227097,121249,115375,317332,572875,571000,1007611,698705,295739,116081,175083,483105,251267,69969,5008491,1456323,80155,83668,4229632,559144,231368
G380,1990,North Dakota,38,380,North Dakota,638800,318201,320599,47845,52032,48820,26688,19980,10770,9963,27140,50154,53861,90020,57084,26268,10975,16145,47541,32274,11240,604142,3524,25917,5217,386535,58403,18181
G390,1990,Ohio,39,390,Ohio,10847115,5226340,5620775,785149,795135,766822,452638,341281,170140,161619,463378,868564,926624,1615855,1113443,482526,196535,300445,828028,440903,138030,9521756,1154826,20358,150175,6788384,843399,411536
G400,1990,Oklahoma,40,400,Oklahoma,3145585,1530819,1614766,226523,244122,231892,134470,98623,49492,45988,127286,248609,260710,452241,322975,141214,54286,82941,235135,143230,45848,2583512,233801,252420,75852,1935331,253635,119774
G410,1990,Oregon,41,410,Oregon,2842321,1397073,1445248,201421,209775,201365,111569,78386,40941,38492,109709,211981,239563,474851,296595,116011,46467,73871,224438,128071,38815,2636787,46178,38496,120860,1720350,267161,130403
G420,1990,Pennsylvania,42,420,Pennsylvania,11881643,5694265,6187378,797058,788301,755161,454290,363768,187448,179959,495600,920217,992239,1744867,1213845,552378,236135,371271,1070021,587249,171836,10520201,1089795,14733,256914,7560002,995999,528700
G440,1990,Rhode Island,44,440,Rhode Island,1003464,481496,521968,66969,63731,59406,35584,35278,19652,17538,47890,85852,87772,147617,96425,42077,18287,28839,85616,48915,16016,917375,38861,4071,43157,625792,99704,51963
G450,1990,South Carolina,45,450,South Carolina,3486703,1688510,1798193,256337,256076,253719,154075,123559,61955,58644,162368,296764,294584,523295,355610,148762,56803,87217,246305,119881,30749,2406974,1039884,8246,31599,2178479,267365,118811
G460,1990,South Dakota,46,460,South Dakota,696004,342498,353506,54504,58795,55437,29726,20845,10169,9661,27438,53143,56270,95216,62669,29218,12176,18406,54471,34517,13343,637515,3258,50575,4656,418597,57149,21313
G470,1990,Tennessee,47,470,Tennessee,4877185,2348928,2528257,333415,337368,339098,206723,159843,79105,73731,214976,402977,409344,740988,526210,220952,85467,128170,357423,202601,58794,4048068,778035,10039,41043,3129643,359948,171938
G480,1990,Texas,48,480,Texas,16986510,8365963,8620547,1390054,1396173,1294353,755259,556432,280266,264658,789488,1532740,1553431,2539025,1628634,661590,255420,372411,998239,551732,166605,12774762,2021632,65877,2124239,9947059,1530849,673250
G490,1990,Utah,49,490,Utah,1722850,855759,867091,169633,183674,183846,90291,62164,28081,27946,81795,137321,137577,224672,138481,54930,21224,31257,88187,48160,13611,1615845,11576,24283,71146,887076,146213,61633
G500,1990,Vermont,50,500,Vermont,562758,275492,287266,41261,41789,37990,22043,19656,10015,9716,23779,45261,49996,92432,57389,22787,9036,13445,37072,21568,7523,555088,1951,1696,4023,327656,59593,31929
G510,1990,Virginia,51,510,Virginia,6187358,3033974,3153384,443155,424361,398531,238691,199865,108240,104937,306689,574241,566447,991756,663332,257207,99166,146270,400622,204139,59709,4791739,1162994,15282,217343,3642719,676710,363602
G530,1990,Washington,53,530,Washington,4866692,2413747,2452945,366780,371093,337662,185852,136859,73950,70956,206774,411822,443366,803763,501543,191602,75747,113635,336034,182953,56301,4308937,149801,81483,326471,2859292,527791,221149
G540,1990,West Virginia,54,540,West Virginia,1793477,861536,931941,106659,119874,134813,82231,59824,27439,25302,67426,122144,139559,271104,191318,85265,35697,55925,155743,87703,25451,1725523,56295,2458,9201,1195846,96372,57053
G550,1990,Wisconsin,55,550,Wisconsin,4891769,2392935,2498834,360730,376303,353587,198362,148927,76463,73120,213816,401345,420870,724617,478882,204647,83496,125383,358419,218509,74293,4512523,244539,39387,95320,3016701,409541,174793
G560,1990,Wyoming,56,560,Wyoming,453588,227007,226581,34780,40617,38917,21211,13596,6429,5678,15683,33268,41028,74199,45497,17893,7254,10343,27759,14886,4550,427061,3606,9479,13442,264220,38305,15982
G010,2000,Alabama,1,10,Alabama,4447100,2146504,2300596,295992,315345,320252,191833,132747,66614,63146,177105,301196,301819,685512,600209,225450,78966,111116,316748,195749,67301,3162808,1155930,22430,61753,2749184,375494,199810
G020,2000,Alaska,2,20,Alaska,626932,324112,302820,47591,53771,56661,32694,17400,8341,7927,23624,42987,46486,114049,94952,27423,7726,9601,22507,10558,2634,434534,21787,98043,38422,340345,63354,32726
G040,2000,Arizona,4,40,Arizona,5130632,2561057,2569575,382386,389869,378211,216481,151241,76165,71929,214766,374106,368559,768804,627904,238675,84016,119681,363841,235473,68525,3873611,158873,255879,695743,2972585,520675,274671
G050,2000,Arkansas,5,50,Arkansas,2673400,1304693,1368707,181585,187224,192935,118625,80140,39532,37020,105046,176674,176171,398127,349519,139393,48821,68569,198334,129193,46492,2138598,418950,17808,62300,1692446,201863,99033
G060,2000,California,6,60,California,33871648,16874892,16996756,2486981,2725880,2570822,1466146,984742,490829,470556,1419903,2543541,2685521,5485341,4331635,1467252,488645,658196,1887823,1282178,425657,20170059,2263882,333346,9496715,18754532,3847654,2047999
G080,2000,Colorado,8,80,Colorado,4301261,2165983,2135278,297505,308428,311497,183365,123873,62281,60239,183718,331795,332232,736823,614125,194722,61959,82626,226310,141547,48216,3560005,165063,44241,409765,2258436,635010,311025
G090,2000,Connecticut,9,90,Connecticut,3405565,1649319,1756246,223344,244144,241587,132613,84014,40402,38804,108365,201467,250173,581049,480807,176961,56131,75521,231565,174345,64273,2780355,309843,9639,230880,1814728,444570,306693
G100,2000,Delaware,10,100,Delaware,783600,380541,403059,51531,55813,55274,31969,23663,11681,10917,29067,51219,57621,127601,103999,39320,13481,18718,56415,34762,10549,584773,150666,2731,32397,454626,86093,48919
G110,2000,District Of Columbia,11,110,District of Columbia,572059,269366,302693,32536,35385,30018,17053,20814,11024,10314,30485,52849,48913,87677,75310,27803,9536,12444,35919,25004,8975,176101,343312,1713,37487,293287,82454,81986
G120,2000,Florida,12,120,Florida,15982378,7797715,8184663,945823,1031718,1057024,611775,402292,197368,184910,546032,995358,1088742,2485247,2069479,821517,299287,438209,1452176,1024134,331287,12465029,2335505,53541,751988,9800635,1650197,896974
G130,2000,Georgia,13,130,Georgia,8186453,4027113,4159340,595150,615584,607759,350741,245536,125148,117767,349281,641750,657506,1353508,1079992,375651,122259,163546,435695,261723,87857,5327281,2349542,21737,373705,4700512,885664,434503
G150,2000,Hawaii,15,150,Hawaii,1211537,608671,602866,78163,84980,83106,49518,31484,16957,17015,49437,84000,87159,191177,170979,60561,19566,26834,85262,57775,17564,294102,22003,3535,632554,700369,148840,68003
G160,2000,Idaho,16,160,Idaho,1293953,648660,645293,97643,100756,104608,66023,44835,19868,19396,54730,85128,84305,192968,170248,60024,20324,27181,75970,51889,18057,1177304,5456,17645,67939,750024,121715,54083
G170,2000,Illinois,17,170,Illinois,12419293,6080336,6338957,876549,929858,905097,533947,360055,179332,167603,503908,891759,919915,1983870,1626742,577747,195386,267500,772247,535747,192031,9125471,1876875,31006,1150925,6981367,1429982,768715
G180,2000,Indiana,18,180,Indiana,6080485,2982474,3098011,423215,443273,443416,264492,188990,95673,89190,240868,409035,422090,960703,816865,294169,99818,135857,395393,265880,91558,5320022,510034,15815,158942,3710948,513992,282739
G190,2000,Iowa,19,190,Iowa,2926324,1435515,1490809,188413,202603,210547,132075,94345,47185,43184,113294,177259,185801,445199,392794,139052,48874,69486,211935,159160,65118,2748640,61853,8989,75064,1768213,300811,124966
G200,2000,Kansas,20,200,Kansas,2688418,1328474,1359944,188708,195574,204018,124693,85425,42487,39085,108595,172975,175878,420351,354147,121645,41252,57356,175916,128543,51770,2313944,154198,24936,138844,1517277,310025,149896
G210,2000,Kentucky,21,210,Kentucky,4041769,1975368,2066401,265901,279258,279481,170178,118826,60868,57540,164624,281134,286974,642665,556932,204483,71143,96969,273943,172589,58261,3640889,295994,8616,53827,2571040,293058,183830
G220,2000,Louisiana,22,220,Louisiana,4468976,2162903,2306073,317392,336780,347912,217715,148230,71946,67101,186524,296161,305001,691966,586271,208761,71817,98470,282925,175328,58676,2856161,1451944,25477,87129,2704432,363666,182425
G230,2000,Maine,23,230,Maine,1274923,620309,654614,70726,83022,92252,55238,34247,15330,14805,39521,71951,85666,212980,192596,68490,22367,32330,96196,63890,23316,1236014,6760,7098,12404,768174,136459,69312
G240,2000,Maryland,24,240,Maryland,5296486,2557794,2738692,353393,391318,392135,219326,136793,66616,62571,184942,342870,405651,916156,755032,268647,86667,115062,321285,211120,66902,3391308,1477411,15423,308757,2796362,672855,473850
