YEAR,STATE,Population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 to 74 years,75 to 84 years,85 years and over,White,Black or African American,American Indian and Alaska Native,Asian and Pacific Islander and Other,Less than Bachelor's degree,Bachelor's degree,Graduate or professional degree
2019,Iowa,6310140,1570384,1584686,190606,205431,204137,121656,93030,45744,46480,124982,205568,194731,392097,358447,210384,87007,121195,311643,165190,76742,2835536,129335,11837,78163,1779558,450407,203275
2019,Kansas,5826628,1446287,1467027,183236,196962,203308,116795,82065,48220,42190,122457,191948,185425,362905,327291,181715,77404,113397,274666,140129,63201,2436902,167237,23860,89471,1528990,444737,239286
2019,Kentucky,8935346,2198205,2269468,273130,264938,292075,171682,123322,65120,56020,172944,303157,273535,556896,562400,295568,126571,175756,454932,222988,76639,3873691,363167,8326,77299,2659499,490376,315973
2019,Louisiana,9297588,2268202,2380592,292977,298089,317155,176665,125047,66945,64591,167124,326337,317085,606785,544724,295758,120832,186486,446721,220113,75360,2874784,1504017,28561,82477,2743489,538243,282176
2019,Maine,2688424,656330,687882,62813,64874,72870,45796,32413,15806,16485,42003,82168,82063,153615,176429,102302,42403,66194,169556,81769,34653,1263287,21983,9419,15545,755179,218600,124080
2019,Maryland,12091360,2928013,3117667,358346,359505,390637,223799,157519,79416,72605,219995,405838,414737,786924,795954,413230,171566,235722,564533,281807,113547,3296909,1830059,19164,388647,2918188,989404,805801
2019,Massachusetts,13785006,3345556,3546947,355066,355521,395607,245583,205810,98297,98874,287169,502409,490198,849654,894405,483588,183266,274763,676157,336202,159934,5305385,543629,17875,475893,3224247,1318677,997802
2019,Michigan,19973714,4915905,5070952,567914,578688,617636,378584,274634,140494,140934,393346,689462,612555,1174029,1252699,701709,280799,416965,1041813,510903,213693,7812165,1371069,57785,329308,5663199,1354102,826734
2019,Minnesota,11279264,2804216,2835416,349621,361330,372737,218981,144377,69908,67472,207994,381052,384526,730399,672810,386481,155578,214875,533366,276534,111591,4627588,370291,57414,288383,2829668,1013006,494289
2019,Connecticut,7130574,1743777,1821510,180598,193466,216194,137174,101496,51129,47527,141283,222301,222208,426967,480565,258972,108618,147757,352559,187950,88523,2660228,396745,9052,167548,1786876,601853,449126
2019,Florida,42955474,10498005,10979732,1131148,1123648,1258247,718912,494897,282889,259379,724115,1396238,1371822,2612250,2708234,1475419,579445,842896,2463083,1474050,561065,16010079,3441062,59558,615961,12304613,3155725,1785444
2019,Alabama,9806370,2369611,2533574,286597,294475,317645,186880,139791,69330,67217,181192,325338,312065,605739,609391,321296,138672,193245,505557,264071,84684,3326375,1319551,23265,68021,2897235,580386,339967
2019,Alaska,1463090,380433,351112,50891,52692,49737,26429,20102,8676,10342,28618,60357,57621,93035,87687,48858,18457,27455,61658,22265,6665,469771,22551,115544,53601,402518,92563,56715
2019,Arizona,14557434,3620935,3657782,427707,445512,486413,280016,203530,103445,97344,290210,524185,477409,898533,853081,445006,181349,257736,751831,424605,130805,5701810,343729,332273,255889,4076978,995646,566445
2019,Arkansas,6035608,1474705,1543099,183327,192289,202376,121020,84426,42332,38495,117083,200273,186329,377184,362384,192477,81806,111766,303422,162243,58572,2315020,467468,17216,58907,1817960,330944,169888
2019,California,79024446,19640794,19871429,2377839,2380762,2629510,1502953,1044496,532592,523534,1582665,3085132,2950920,5298911,4974817,2461936,995049,1336109,3391856,1725842,717300,23484958,2282144,321112,6021306,20765265,6290254,3565640
2019,Colorado,11517472,2904955,2853781,327302,344202,366422,218394,147135,75388,68318,236632,459622,448005,805306,704792,357955,146147,207738,524969,231835,88574,4822379,240538,57578,196217,2734416,1125813,642187
2019,Delaware,1947528,470288,503476,54261,54150,59911,35624,25142,15040,11675,30650,65209,63203,113704,118670,66092,27196,43599,112847,57991,18800,659719,219418,4353,37020,533357,142215,94246
2019,District of Columbia,1411498,334355,371394,45263,35558,31821,15259,22492,11310,8549,30352,82476,81899,108905,74493,37365,13201,19269,50587,25639,11311,300058,320704,1886,28912,259614,145691,172543
