year,state,candidate,party,outcome
2000,Connecticut,Joseph I. Lieberman,democrat,1
2000,Connecticut,Willdey J. Moore,libertarian,0
2000,Connecticut,Phil Giordano,republican,0
2000,Connecticut,"William Kozak, Jr.",concerned citizens,0
2000,Delaware,Thomas R. Carper,democrat,1
2000,Delaware,J. Burke Morrison,libertarian,0
2000,Delaware,Mark E. Dankof,constitution,0
2000,Delaware,"William V. Roth, Jr.",republican,0
2000,Delaware,Robert Mattson,natural law,0
2000,Florida,Darrell L. McCormick,independent,0
2000,Florida,Bill Nelson,democrat,1
2000,Florida,Bill McCollum,republican,0
2000,Florida,Willie Logan,independent,0
2000,Florida,Joe Simonetta,natural law,0
2000,Florida,Joel Deckard,reform,0
2000,Florida,Andy Martin,independent,0
2000,Georgia,Mack F. Mattingly,republican (not identified on ballot),0
2000,Georgia,Paul Robert MacGregor,not identified,0
2000,Georgia,Ben Ballenger,not identified,0
2000,Georgia,Jeff Gates,not identified,0
2000,Georgia,Zell Miller,democrat (not identified on ballot),1
2000,Georgia,Winnie Walsh,not identified,0
2000,Hawaii,John Carroll,republican,0
2000,Hawaii,Lloyd Jeffrey Mallan,libertarian,0
2000,Hawaii,Lauri A. Clegg,natural law,0
2000,Hawaii,David Porter,constitution,0
2000,Hawaii,Daniel K. Akaka,democrat,1
2000,Indiana,Paul Hager,libertarian,0
2000,Indiana,Richard G. Lugar,republican,1
2000,Indiana,David L. Johnson,democrat,0
2000,Maine,Mark W. Lawrence,democrat,0
2000,Maine,Olympia J. Snowe,republican,1
2000,Maryland,Paul H. Rappaport,republican,0
2000,Maryland,Paul S. Sarbanes,democrat,1
2000,Massachusetts,Philip F. Lawler,constitution,0
2000,Massachusetts,Carla A. Howell,libertarian,0
2000,Massachusetts,Philip Hyde III,timesizing not downsizing,0
2000,Massachusetts,Edward M. Kennedy,democrat,1
2000,Massachusetts,Dale E. Friedgen,unenrolled,0
2000,Massachusetts,Jack E. Robinson III,republican,0
2000,Michigan,Michael R. Corliss,libertarian,0
2000,Michigan,William Quarton,natural law,0
2000,Michigan,Mark A. Forton,reform,0
2000,Michigan,Debbie Stabenow,democrat,1
2000,Michigan,Spencer Abraham,republican,0
2000,Michigan,John Mangopoulos,u.s. taxpayers,0
2000,Michigan,Matthew R. Abel,green,0
2000,Minnesota,David Daniels,grassroots,0
2000,Minnesota,Mark Dayton,democratic-farmer-labor,1
2000,Minnesota,James (Jim) Gibson,independence,0
2000,Minnesota,David Swan,constitution,0
2000,Minnesota,Rebecca Ellis,socialist workers,0
2000,Minnesota,Rod Grams,republican,0
2000,Minnesota,Erik D. Pakieser,libertarian,0
2000,Mississippi,Jim Giles,independent,0
2000,Mississippi,Trent Lott,republican,1
2000,Mississippi,Shawn O'Hara,reform,0
2000,Mississippi,"Troy D. Brown, Sr.",democrat,0
2000,Mississippi,Lewis Napper,libertarian,0
2000,Missouri,Hugh Foley,reform,0
2000,Missouri,Evaline Taylor,green,0
2000,Missouri,Charles Dockins,natural law,0
2000,Missouri,John Ashcroft,republican,0
2000,Missouri,Mel Carnahan,democrat,1
2000,Missouri,Grant Samuel Stauffer,libertarian,0
2000,Montana,Gary Lee,reform,0
2000,Montana,Brian Schweitzer,democrat,0
2000,Montana,Conrad Burns,republican,1
2000,Nebraska,Don Stenberg,republican,0
2000,Nebraska,Ben Nelson,democrat,1
2000,Nevada,John Ensign,republican,1
2000,Nevada,J. J. Johnson,libertarian,0
2000,Nevada,Ernie Berghof,independent american,0
2000,Nevada,Bill Grutzmacher,citizens first,0
2000,Nevada,Ed Bernstein,democrat,0
2000,Nevada,Kathryn Rusco,green,0
2000,New Jersey,J. M. Carter,independent,0
2000,New Jersey,Bob Franks,republican,0
2000,New Jersey,Jon S. Corzine,democrat,1
2000,New Jersey,Gregory Pason,independent,0
2000,New Jersey,Pat DiNizio,independent,0
2000,New Jersey,George Gostigian,independent,0
2000,New Jersey,Emerson Ellett,independent,0
2000,New Jersey,Nancy Rosenstock,independent,0
2000,New Jersey,Bruce Afran,independent,0
2000,New Jersey,Lorraine LaNeve,independent,0
2000,New Jersey,Dennis A. Breen,independent,0
2000,New Mexico,Bill Redmond,republican,0
2000,New Mexico,Jeff Bingaman,democrat,1
2000,New York,Louis P. Wein,constitution,0
2000,New York,John O. Adefope,right to life,0
2000,New York,Jeffrey E. Graham,independence,0
2000,New York,Jacob J. Perasso,socialist workers,0
2000,New York,Mark J. Dunau,green,0
2000,New York,John Clifton,libertarian,0
2000,North Dakota,Kent Conrad,democratic-nonpartisan league,1
2000,North Dakota,Duane Sand,republican,0
2000,Ohio,John A. Eastman,natural law,0
2000,Ohio,John R. McAlister,libertarian,0
2000,Ohio,Ted Celeste,democrat,0
2000,Ohio,Mike DeWine,republican,1
2000,Pennsylvania,Ron Klink,democrat,0
2000,Pennsylvania,John J. Featherman,libertarian,0
2000,Pennsylvania,Robert E. Domske,reform,0
2000,Pennsylvania,Rick Santorum,republican,1
2000,Pennsylvania,Lester B. Searer,constitution,0
2000,Rhode Island,Robert A. Weygand,democrat,0
2000,Rhode Island,Lincoln D. Chafee,republican,1
2000,Rhode Island,Kenneth P. Proulx,independent,0
2000,Rhode Island,Christopher Young,reform,0
2000,Tennessee,Jeff Clark,democrat,0
2000,Tennessee,David Jarrod Ownby,independent,0
2000,Tennessee,Robert Watson,independent,0
2000,Tennessee,Charles F. Johnson,independent,0
2000,Tennessee,Bill Frist,republican,1
2000,Tennessee,Tom Burrell,green,0
2000,Tennessee,Joel Kinstle,independent,0
2000,Texas,Gene Kelly,democrat,0
2000,Texas,Kay Bailey Hutchison,republican,1
2000,Texas,Mary J. Ruwart,libertarian,0
2000,Texas,Douglas S. Sandage,green,0
2000,Utah,Scott N. Howell,democrat,0
2000,Utah,Jim Dexter,libertarian,0
2000,Utah,Carlton Edward Bowen,independent american,0
2000,Utah,Orrin G. Hatch,republican,1
2000,Vermont,Charles W. Russell,constitution,0
2000,Vermont,Rick Hubbard,independent,0
2000,Vermont,Ed Flanagan,democrat,0
2000,Vermont,Jerry Levy,liberty union,0
2000,Vermont,Hugh Douglas,libertarian,0
2000,Vermont,James M. Jeffords,republican,1
2000,Vermont,Billy Greer,vermont grassroots,0
2000,Virginia,Charles S. Robb,democrat,0
2000,Virginia,George F. Allen,republican,1
2000,Washington,Slade Gorton,republican,0
2000,Washington,Maria Cantwell,democrat,1
2000,Washington,Jeff Jared,libertarian,0
2000,West Virginia,Joe Whelan,libertarian,0
2000,West Virginia,Robert C. Byrd,democrat,1
2000,West Virginia,David T. Gallaher,republican,0
2000,Wisconsin,Herb Kohl,democrat,1
2000,Wisconsin,Eugene A. Hem,independent,0
2000,Wisconsin,Tim Peterson,libertarian,0
2000,Wisconsin,John Gillespie,republican,0
2000,Wisconsin,Robert R. Raymond,constitution,0
2000,Wyoming,Craig Thomas,republican,1
2000,Wyoming,Margaret Dawson,libertarian,0
2000,Wyoming,Mel Logan,democrat,0
2002,Alabama,Jeff Sessions,republican,1
2002,Alabama,Jeff Allen,libertarian,0
2002,Alabama,Susan Parker,democrat,0
2002,Alaska,Jim Dore,alaskan independence,0
2002,Alaska,Ted Stevens,republican,1
2002,Alaska,Leonard Karpinski,libertarian,0
2002,Alaska,Jim Sykes,green,0
2002,Alaska,Frank Vondersaar,democrat,0
2002,Arkansas,Tim Hutchinson,republican,0
2002,Arkansas,Mark Pryor,democrat,1
2002,Colorado,"Doulgas ""Dayhorse"" Campbell",american constitution,0
2002,Colorado,Wayne Allard,republican,1
2002,Colorado,John Heckman,concerns of people,0
2002,Colorado,Rick Stanley,libertarian,0
2002,Colorado,Tom Strickland,democrat,0
2002,Delaware,Maurice Barros,independent party of delaware,0
2002,Delaware,Raymond T. Buranello,libertarian,0
2002,Delaware,Joseph R. Biden Jr.,democrat,1
2002,Delaware,Raymond J. Clatworthy,republican,0
2002,Delaware,Robert E. Mattson,natural law,0
2002,Georgia,Saxby Chambliss,republican,1
2002,Georgia,Max Cleland,democrat,0
2002,Georgia,"Claude ""Sandy"" Thomas",libertarian,0
2002,Idaho,Larry E. Craig,republican,1
2002,Idaho,Alan Blinken,democrat,0
2002,Idaho,Donovan Bramwell,libertarian,0
2002,Illinois,Jim Durkin,republican,0
2002,Illinois,Steven Burgauer,libertarian,0
2002,Illinois,Richard J. Durbin,democrat,1
2002,Iowa,Richard J. Moore,libertarian,0
2002,Iowa,Timothy A. Harthan,green,0
2002,Iowa,Greg Ganske,republican,0
2002,Iowa,Tom Harkin,democrat,1
2002,Kansas,Steven A. Rosile,libertarian,0
2002,Kansas,George Cook,reform,0
2002,Kansas,Pat Roberts,republican,1
2002,Kentucky,Mitch McConnell,republican,1
2002,Kentucky,Lois Combs Weinberg,democrat,0
2002,Louisiana,Gary D. Robbins,other,0
2002,Louisiana,"""Tony"" Perkins",republican,0
2002,Louisiana,John Cooksey,republican,0
2002,Louisiana,Raymond Brown,democrat,0
2002,Louisiana,"Patrick E. ""Live Wire"" Landry",other,0
2002,Louisiana,James Lemann,other,0
2002,Louisiana,Ernest Edward Skillman Jr.,republican,0
2002,Maine,Susan M. Collins,republican,1
2002,Maine,Chellie Pingree,democrat,0
2002,Massachusetts,Michael E. Cloud,libertarian,0
2002,Massachusetts,John F. Kerry,democrat,1
2002,Michigan,John S. Mangopoulos,reform,0
2002,Michigan,Carl Levin,democrat,1
2002,Michigan,Andrew Raczkowski,republican,0
2002,Michigan,Doug Dern,natural law,0
2002,Michigan,Eric Borregard,green,0
2002,Minnesota,Norm Coleman,republican,1
2002,Minnesota,Paul Wellstone,democratic-farmer-labor,0
2002,Minnesota,Jim Moore,independence,0
2002,Minnesota,Ray Tricomo,green,0
2002,Minnesota,Walter F. Mondale,democrat,0
2002,Minnesota,Miro Drago,constitution,0
2002,Mississippi,Thad Cochran,republican,1
2002,Mississippi,Shawn O'Hara,reform,0
2002,Missouri,Jean Carnahan,democrat,0
2002,Missouri,Daniel (Digger) Romano,green,0
2002,Missouri,Jim Talent,republican,1
2002,Missouri,Tamara A. Millay,libertarian,0
2002,Montana,Max Baucus,democrat,1
2002,Montana,Stan Jones,libertarian,0
2002,Montana,Mike Taylor,republican,0
2002,Montana,Bob Kelleher,green,0
2002,Nebraska,Charlie A. Matulka,democrat,0
2002,Nebraska,Phil Chase,independent,0
2002,Nebraska,Chuck Hagel,republican,1
2002,Nebraska,John J. Graziano,libertarian,0
2002,New Hampshire,Ken Blevens,libertarian,0
2002,New Hampshire,Jeanne Shaheen,democrat,0
2002,New Hampshire,John E. Sununu,republican,1
2002,New Jersey,Gregory Pason,socialist,0
2002,New Jersey,Elizabeth Macron,libertarian,0
2002,New Jersey,Norman E. Wahner,conservative,0
2002,New Jersey,Douglas R. Forrester,republican,0
2002,New Jersey,Frank R. Lautenberg,democrat,1
2002,New Jersey,Ted Glick,green,0
2002,New Mexico,Gloria Tristani,democrat,0
2002,New Mexico,Pete V. Domenici,republican,1
2002,North Carolina,Sean Haugh,libertarian,0
2002,North Carolina,Erskine B. Bowles,democrat,0
2002,North Carolina,Elizabeth H. Dole,republican,1
2002,Oklahoma,James Germalic,independent,0
2002,Oklahoma,James M. Inhofe,republican,1
2002,Oklahoma,David Walters,democrat,0
2002,Oregon,Gordon Smith,republican,1
2002,Oregon,Dan Fitzgerald,libertarian,0
2002,Oregon,Lon Mabon,constitution,0
2002,Oregon,Bill Bradbury,democrat,0
2002,Rhode Island,Jack Reed,democrat,1
2002,Rhode Island,Robert G. Tingle,republican,0
2002,South Carolina,Ted Adams,constitution,0
2002,South Carolina,Lindsey O. Graham,republican,1
2002,South Carolina,Alex Sanders,democrat,0
2002,South Carolina,Victor Kocher,libertarian,0
2002,South Dakota,Kurt Evans,libertarian,0
2002,South Dakota,Tim Johnson,democrat,1
2002,South Dakota,John Thune,republican,0
2002,Tennessee,Wesley M. Baker,independent,0
2002,Tennessee,Karl Stanley Davidson,independent,0
2002,Tennessee,Bob Clement,democrat,0
2002,Tennessee,Connie Gammon,independent,0
2002,Tennessee,Basil J. Marceaux,independent,0
2002,Tennessee,John Jay Hooker,independent,0
2002,Tennessee,Lamar Alexander,republican,1
2002,Tennessee,H. Gary Keplinger,independent,0
2002,Texas,Roy H. Williams,green,0
2002,Texas,John Cornyn,republican,1
2002,Texas,Ron Kirk,democrat,0
2002,Texas,Scott Lanier Jameson,libertarian,0
2002,Virginia,Nancy B. Spannaus,independent,0
2002,Virginia,Jacob G. Hornberger Jr.,independent,0
2002,Virginia,John W. Warner,republican,1
2002,West Virginia,Jay Wolfe,republican,0
2002,West Virginia,John D. Rockefeller IV,democrat,1
2002,Wyoming,Joyce Jansa Corcoran,democrat,0
2002,Wyoming,Michael B. Enzi,republican,1
2004,Alabama,Richard C. Shelby,republican,1
2004,Alabama,Wayne Sowell,democrat,0
2004,Alaska,Jim Skyes,green,0
2004,Alaska,Tony Knowles,democrat,0
2004,Alaska,Lisa Murkowski,republican,1
2004,Alaska,Scott A. Kohlhaas,alaska libertarian,0
2004,Alaska,Marc J. Millican,nonpartisan,0
2004,Alaska,Jerry Sanders,alaskan independence,0
2004,Alaska,"Ted ""Big"" Gianoutsos",nonpartisan,0
2004,Arizona,Ernest Hancock,libertarian,0
2004,Arizona,Stuart Starky,democrat,0
2004,Arizona,John McCain,republican,1
2004,Arkansas,Blanche L. Lincoln,democrat,1
2004,Arkansas,Jim Holt,republican,0
2004,California,Barbara Boxer,democrat,1
2004,California,Don J. Grundmann,american independent,0
2004,California,"James P. ""Jim"" Gray",libertarian,0
2004,California,Marsha Feinland,peace and freedom,0
2004,California,Bill Jones,republican,0
2004,Colorado,Ken Salazar,democrat,1
2004,Colorado,Finn Gotaas,unaffiliated,0
2004,Colorado,"Douglas ""Dayhorse"" Campbell",american constitution,0
2004,Colorado,Richard Randall,libertarian,0
2004,Colorado,Victor Good,reform,0
2004,Colorado,Pete Coors,republican,0
2004,Colorado,John R. Harris,independent,0
2004,Connecticut,Leonard H. Rasch,libertarian,0
2004,Connecticut,Jack C. Orchulli,republican,0
2004,Connecticut,Christopher J. Dodd,democrat,1
2004,Connecticut,Timothy A. Knibbs,concerned citizens,0
2004,Florida,Mel Martinez,republican,1
2004,Florida,Betty Castor,democrat,0
2004,Florida,Dennis F. Bradley,veterans party of america,0
2004,Georgia,Johnny Isakson,republican,1
2004,Georgia,Denise L. Majette,democrat,0
2004,Georgia,Allen Buckley,libertarian,0
2004,Hawaii,Daniel K. Inouye,democrat,1
2004,Hawaii,Jim Brewer,nonpartisan,0
2004,Hawaii,Cam Cavasso,republican,0
2004,Hawaii,Jeff Mallan,libertarian,0
2004,Idaho,Mike Crapo,republican,1
2004,Illinois,Jerry Kohn,libertarian,0
2004,Illinois,Alan Keyes,republican,0
2004,Illinois,Barack Obama,democrat,1
2004,Illinois,Albert J. Franzen,independent,0
2004,Indiana,Albert Barger,libertarian,0
2004,Indiana,Marvin Scott,republican,0
2004,Indiana,Evan Bayh,democrat,1
2004,Iowa,Arthur Small,democrat,0
2004,Iowa,Christy Ann Welty,libertarian,0
2004,Iowa,Edwin Fruit,socialist workers,0
2004,Iowa,Daryl A. Northrop,green,0
2004,Iowa,Charles E. Grassley,republican,1
2004,Kansas,George Cook,reform,0
2004,Kansas,Lee Jones,democrat,0
2004,Kansas,Steven A. Rosile,libertarian,0
2004,Kansas,Sam Brownback,republican,1
2004,Kentucky,Daniel Mongiardo,democrat,0
2004,Kentucky,Jim Bunning,republican,1
2004,Louisiana,John Kennedy,democrat,0
2004,Louisiana,Richard M. Fontanesi,other,0
2004,Louisiana,"Sam Houston Melton, Jr.",democrat,0
2004,Louisiana,Christopher John,democrat,0
2004,Louisiana,David Vitter,republican,1
2004,Louisiana,Arthur A. Morrell,democrat,0
2004,Louisiana,"R. A. ""Skip"" Galan",other,0
2004,Maryland,Barbara A. Mikulski,democrat,1
2004,Maryland,E. J. Pipkin,republican,0
2004,Maryland,Thomas Trump,constitution,0
2004,Maryland,Maria Allwine,green,0
2004,Missouri,Nancy Farmer,democrat,0
2004,Missouri,Don Griffin,constitution,0
2004,Missouri,Christopher S. Bond,republican,1
2004,Missouri,Kevin Tull,libertarian,0
2004,Nevada,Richard Ziser,republican,0
2004,Nevada,Harry Reid,democrat,1
2004,Nevada,Gary Marinch,natural law,0
2004,Nevada,David K. Schumann,independent american,0
2004,Nevada,Thomas L. Hurst,libertarian,0
2004,New Hampshire,Doris R. Haddock,democrat,0
2004,New Hampshire,Judd Gregg,republican,1
2004,New York,David E. McReynolds,green,0
2004,New York,Donald Silberger,libertarian,0
2004,New York,Marilyn F. O'Grady,conservative,0
2004,New York,Abraham Hirschfeld,builders,0
2004,New York,Howard Mills,republican,0
2004,New York,Martin Koppel,socialist workers,0
2004,North Carolina,Erskine Bowles,democrat,0
2004,North Carolina,Tom Bailey,libertarian,0
2004,North Carolina,Richard Burr,republican,1
2004,North Dakota,Byron L. Dorgan,democrat,1
2004,North Dakota,Mike Liffrig,republican,0
2004,Ohio,Eric D. Fingerhut,democrat,0
2004,Ohio,George V. Voinovich,republican,1
2004,Oklahoma,Brad Carson,democrat,0
2004,Oklahoma,Sheila Bilyeu,independent,0
2004,Oklahoma,Tom Coburn,republican,1
2004,Oregon,Teresa Keane,pacific green,0
2004,Oregon,Dan Fitzgerald,libertarian,0
2004,Oregon,Al King,republican,0
2004,Oregon,Ron Wyden,democrat,1
2004,Oregon,David Brownlow,constitution,0
2004,Pennsylvania,Betsy Summer,libertarian,0
2004,Pennsylvania,James N. Clymer,constitution,0
2004,Pennsylvania,Arlen Specter,republican,1
2004,Pennsylvania,Joseph M. Hoeffel,democrat,0
2004,South Carolina,Tee Ferguson,united citizens,0
2004,South Carolina,Patrick Tyndall,constitution,0
2004,South Carolina,Rebekah E. Sutherland,libertarian,0
2004,South Carolina,Jim DeMint,republican,1
2004,South Carolina,Inez Tenenbaum,democrat,0
2004,South Dakota,Tom Daschle,democrat,0
2004,South Dakota,John Thune,republican,1
2004,Utah,R. Paul Van Dam,democrat,0
2004,Utah,Robert F. Bennett,republican,1
2004,Utah,Gary R. Van Horn,constitution,0
2004,Vermont,Ben Mitchell,liberty union,0
2004,Vermont,Craig Hill,vermont green,0
2004,Vermont,Keith Stern,independent,0
2004,Vermont,Jack McMullen,republican,0
2004,Vermont,Patrick J. Leahy,democrat,1
2004,Vermont,Cris Ericson,marijuana,0
2004,Washington,Patty Murray,democrat,1
2004,Washington,Mark B. Wilson,green,0
2004,Washington,George R. Nethercutt,republican,0
2004,Washington,J. Mills,libertarian,0
2004,Wisconsin,Arif Khan,libertarian,0
2004,Wisconsin,Russell D. Feingold,democrat,1
2004,Wisconsin,Tim Michels,republican,0
2004,Wisconsin,Eugene A. Hem,independent,0
2006,Arizona,Jim Pederson,democrat,0
2006,Arizona,Jon Kyl,republican,1
2006,Arizona,Richard Mack,libertarian,0
2006,California,Marsha Feinland,peace and freedom,0
2006,California,Don J. Grundmann,independent,0
2006,California,Dianne Feinstein,democrat,1
2006,California,Todd Chretien,green,0
2006,California,Michael S. Metti,libertarian,0
2006,California,"Richard ""Dick"" Mountjoy",republican,0
2006,Connecticut,Joseph I. Lieberman,connecticut for lieberman,1
2006,Connecticut,Timothy A. Knibbs,concerned citizens,0
2006,Connecticut,Alan Schlesinger,republican,0
2006,Connecticut,Ned Lamont,democrat,0
2006,Connecticut,Ralph A. Ferrucci,green,0
2006,Delaware,Jan Ting,republican,0
2006,Delaware,William E. Morris,libertarian,0
2006,Delaware,Thomas R. Carper,democrat,1
2006,Florida,Belinda Noah,none,0
2006,Florida,Floyd Ray Frazier,none,0
2006,Florida,Bill Nelson,democrat,1
2006,Florida,Brian Moore,none,0
2006,Florida,Roy Tanner,none,0
2006,Florida,Katherine Harris,republican,0
2006,Hawaii,Lloyd Jeffrey Mallan,libertarian,0
2006,Hawaii,Cynthia Thielen,republican,0
2006,Hawaii,Daniel K. Akaka,democrat,1
2006,Indiana,Richard G. Lugar,republican,1
2006,Indiana,Steve Osborn,libertarian,0
2006,Maine,Olympia J. Snowe,republican,1
2006,Maine,William H. Slavick,independent,0
2006,Maine,Jean M. Hay Bright,democrat,0
2006,Maryland,Kevin Zeese,green,0
2006,Maryland,Michael S. Steele,republican,0
2006,Maryland,Benjamin L. Cardin,democrat,1
2006,Massachusetts,Edward M. Kennedy,democrat,1
2006,Massachusetts,Kenneth G. Chase,republican,0
2006,Michigan,Debbie Stabenow,democrat,1
2006,Michigan,David Sole,green,0
2006,Michigan,Leonard Schwartz,libertarian,0
2006,Michigan,W. Dennis FitzSimons,u.s. taxpayers,0
2006,Michigan,Michael Bouchard,republican,0
2006,Minnesota,Ben Powers,constitution,0
2006,Minnesota,Mark R. Kennedy,republican,0
2006,Minnesota,Michael James Cavlan,green,0
2006,Minnesota,Amy Klobuchar,democratic-farmer-labor,1
2006,Minnesota,Robert Fitzgerald,independence,0
2006,Mississippi,Harold M. Taylor,libertarian,0
2006,Mississippi,Trent Lott,republican,1
2006,Mississippi,Erik R. Fleming,democrat,0
2006,Missouri,Frank Gilmour,libertarian,0
2006,Missouri,Jim Talent,republican,0
2006,Missouri,Lydia Lewis,progressive,0
2006,Missouri,Claire McCaskill,democrat,1
2006,Montana,Conrad Burns,republican,0
2006,Montana,Stan Jones,libertarian,0
2006,Montana,Jon Tester,democrat,1
2006,Nebraska,Pete Ricketts,republican,0
2006,Nebraska,Ben Nelson,democrat,1
2006,Nevada,David K. Schumann,independent,0
2006,Nevada,Brendan Trainor,libertarian,0
2006,Nevada,John Ensign,republican,1
2006,Nevada,Jack Carter,democrat,0
2006,New Jersey,"Thomas H. Kean, Jr.",republican,0
2006,New Jersey,Robert Menendez,democrat,1
2006,New Jersey,Angela L. Lariscy,socialist workers,0
2006,New Jersey,Daryl Mikell Brooks,poor peopleÃÂs campaign,0
2006,New Jersey,Len Flynn,libertarian,0
2006,New Jersey,J. M. Carter,god we trust,0
2006,New Jersey,Edward Forchion,legalize marijuana (g.r.i.p.),0
2006,New Jersey,N. Leonard Smith,solidarity,0
2006,New Jersey,Gregory Pason,socialist party usa,0
2006,New Mexico,Allen W. McCulloch,republican,0
2006,New Mexico,Jeff Bingaman,democrat,1
2006,New York,William Van Auken,socialist equality,0
2006,New York,Roger Calero,socialist workers,0
2006,New York,Howie Hawkins,green,0
2006,New York,Jeffrey T. Russell,libertarian,0
2006,North Dakota,Roland Riemers,independent,0
2006,North Dakota,James Germalic,independent,0
2006,North Dakota,Dwight Grotberg,republican,0
2006,North Dakota,Kent Conrad,democrat,1
2006,Ohio,Mike DeWine,republican,0
2006,Ohio,Sherrod Brown,democrat,1
2006,Pennsylvania,"Bob Casey, Jr.",democrat,1
2006,Pennsylvania,Rick Santorum,republican,0
2006,Rhode Island,Lincoln Chafee,republican,0
2006,Rhode Island,Sheldon Whitehouse,democrat,1
2006,Tennessee,David Gatchell,independent,0
2006,Tennessee,"Harold E. Ford, Jr.",democrat,0
2006,Tennessee,Emory Â_ÃÂÂ_ÃÂBoÂ_ÃÂÂ_ÃÂ Heyward,independent,0
2006,Tennessee,Mary Taylor Shelby,independent,0
2006,Tennessee,Gary Keplinger,independent,0
2006,Tennessee,Gloria D. Reagon Price,independent,0
2006,Tennessee,Christopher Joseph Lugo,independent,0
2006,Tennessee,Ed Choate,independent,0
2006,Tennessee,James Anthony Gray,independent,0
2006,Tennessee,Bob Corker,republican,1
2006,Tennessee,John Jay Hooker,independent,0
2006,Texas,Barbara Ann Radnofsky,democrat,0
2006,Texas,Kay Bailey Hutchison,republican,1
2006,Texas,Scott Lanier Jameson,libertarian,0
2006,Utah,Roger I. Price,personal choice,0
2006,Utah,Julian Hatch,desert greens,0
2006,Utah,David Starr Seely,libertarian,0
2006,Utah,Orrin G. Hatch,republican,1
2006,Utah,Pete Ashdown,democrat,0
2006,Utah,Scott N. Bradley,constitution,0
2006,Vermont,Pete Diamondstone,liberty union,0
2006,Vermont,Rich Tarrant,republican,0
2006,Vermont,Peter Moss,anti-bushist candidate,0
2006,Vermont,Bernard Sanders,independent,1
2006,Vermont,Cris Ericson,independent,0
2006,Vermont,Craig Hill,green,0
2006,Virginia,"James H. ""Jim"" Webb, Jr.",democrat,1
2006,Virginia,George Allen,republican,0
2006,Virginia,Glenda Gail Parker,independent green,0
2006,Washington,Robin Adair,independent,0
2006,Washington,Mike McGavick,republican,0
2006,Washington,Bruce Guthrie,libertarian,0
2006,Washington,Maria Cantwell,democrat,1
2006,Washington,Aaron Dixon,green,0
2006,West Virginia,Robert C. Byrd,democrat,1
2006,West Virginia,John R. Raese,republican,0
2006,Wisconsin,Ben J. Glatzel,independent,0
2006,Wisconsin,Herb Kohl,democrat,1
2006,Wisconsin,Robert Gerald Lorge,republican,0
2006,Wisconsin,Rae Vogeler,wisconsin green,0
2006,Wyoming,Dale Groutage,democrat,0
2006,Wyoming,Craig Thomas,republican,1
2008,Alabama,Vivian Davis Figures,democrat,0
2008,Alabama,Jeff Sessions,republican,1
2008,Alaska,Ted Stevens,republican,0
2008,Alaska,Bob Bird,alaskan independence,0
2008,Alaska,Mark Begich,democrat,1
2008,Alaska,"Fredrick D. ""David"" Haase",libertarian,0
2008,Alaska,Ted Gianoutsos,no party affiliation,0
2008,Arkansas,Mark L. Pryor,democrat,1
2008,Arkansas,Rebekah Kennedy,green,0
2008,Colorado,Bob Kinsey,green,0
2008,Colorado,Bob Schaffer,republican,0
2008,Colorado,"Douglas ""Dayhorse"" Campbell",american constitution party,0
2008,Colorado,Mark Udall,democrat,1
2008,Delaware,Joseph R. Biden Jr.,democrat,1
2008,Delaware,Christine O'Donnell,republican,0
2008,Georgia,Allen Buckley,libertarian,0
2008,Idaho,Kent A. Marmon,libertarian,0
2008,Idaho,Jim Risch,republican,1
2008,Idaho,Larry LaRocco,democrat,0
2008,Idaho,Rex Rammell,independent,0
2008,Idaho,Pro-Life,independent,0
2008,Illinois,Steve Sauerberg,republican,0
2008,Illinois,Chad N. Koppie,constitution,0
2008,Illinois,Kathy Cummings,green,0
2008,Illinois,Larry A. Stafford,libertarian,0
2008,Illinois,Richard J. Durbin,democrat,1
2008,Iowa,Tom Harkin,democrat,1
2008,Iowa,Christopher Reed,republican,0
2008,Kansas,Randall L. Hodgkinson,libertarian,0
2008,Kansas,Pat Roberts,republican,1
2008,Kansas,Jim Slattery,democrat,0
2008,Kansas,Joseph L. Martin,reform,0
2008,Kentucky,Mitch McConnell,republican,1
2008,Kentucky,Bruce Lunsford,democrat,0
2008,Louisiana,"""Jay"" Patel",no party affiliation,0
2008,Louisiana,Richard Fontanesi,libertarian,0
2008,Louisiana,Mary L. Landrieu,democrat,1
2008,Louisiana,John Kennedy,republican,0
2008,Louisiana,Robert Stewart,other,0
2008,Maine,Susan M. Collins,republican,1
2008,Maine,Thomas H. Allen,democrat,0
2008,Massachusetts,John F. Kerry,democrat,1
2008,Massachusetts,Robert J. Underwood,libertarian,0
2008,Massachusetts,Jeffrey K. Beatty,republican,0
2008,Michigan,Jack Hoogendyk,republican,0
2008,Michigan,Harley G. Mikkelson,green,0
2008,Michigan,Carl Levin,democrat,1
2008,Michigan,Doug Dern,natural law,0
2008,Michigan,Scotty Boman,libertarian,0
2008,Michigan,Michael N. Nikitin,u.s. taxpayers,0
2008,Minnesota,Norm Coleman,republican,0
2008,Minnesota,Dean Barkley,independence,0
2008,Minnesota,Charles Aldrich,libertarian,0
2008,Minnesota,Al Franken,democrat,1
2008,Minnesota,James Niemackl,constitution,0
2008,Mississippi,Ronnie Musgrove,no party affiliation,0
2008,Mississippi,Roger F. Wicker,republican,0
2008,Mississippi,Thad Cochran,republican,1
2008,Mississippi,Erik Fleming,democrat,0
2008,Montana,Bob Kelleher,republican,0
2008,Montana,Max Baucus,democrat,1
